id,word,language,length
"1","سلام","fa","4"
"2","تنگاتنگ","fa","7"
"3","باردار","fa","6"
"4","رنگارنگ","fa","7"
"5","بادبان","fa","6"
"6","نردبان","fa","6"
"7","آبادان","fa","6"
"8","بانداژ","fa","6"
"9","برگردان","fa","7"
"10","انباردار","fa","8"
"11","ادارات","fa","6"
"12","نابرابر","fa","7"
"13","گرداندن","fa","7"
"14","گرداگرد","fa","7"
"15","آبنبات","fa","6"
"16","باربند","fa","6"
"17","تابدار","fa","6"
"18","تارتار","fa","6"
"19","نگارگر","fa","6"
"20","گردباد","fa","6"
"21","گناباد","fa","6"
"22","تانژانت","fa","7"
"23","دنداندرد","fa","8"
"24","شجاع","fa","4"
"25","دلیر","fa","4"
"26","درد","fa","3"
"27","دماغ","fa","4"
"28","شکم","fa","3"
"29","دست","fa","3"
"30","پا","fa","2"
"31","گنجشک","fa","5"
"32","عنکبوت","fa","6"
"33","نینجا","fa","5"
"34","کاراته","fa","6"
"35","پارتی","fa","5"
"36","خزنده","fa","5"
"37","درنده","fa","5"
"38","گزنده","fa","5"
"39","دردناک","fa","6"
"40","وحشتناک","fa","7"
"41","کابوس","fa","5"
"42","آشوب","fa","4"
"43","ویرانه","fa","6"
"44","ویران","fa","5"
"45","کاسبی","fa","5"
"46","کاسب","fa","4"
"47","کسینوس","fa","6"
"48","ریاضی","fa","5"
"49","شهردار","fa","6"
"50","وکیل","fa","4"
"51","قاضی","fa","4"
"52","پلنگ","fa","4"
"53","پلیس","fa","4"
"54","قاتل","fa","4"
"55","پول","fa","3"
"56","دوست","fa","4"
"57","رفیق","fa","4"
"58","برنج","fa","4"
"59","نان","fa","3"
"60","لاک","fa","3"
"61","داس","fa","3"
"62","خرچنگ","fa","5"
"63","موش","fa","3"
"64","جعبه","fa","4"
"65","چمن","fa","3"
"66","چاقو","fa","4"
"67","قارچ","fa","4"
"68","پارچ","fa","4"
"69","شیر","fa","3"
"70","سیر","fa","3"
"71","لاستیک","fa","6"
"72","ظرف","fa","3"
"73","بستنی","fa","5"
"74","آرام","fa","4"
"75","یواشکی","fa","6"
"76","دندان","fa","5"
"77","زرنگ","fa","4"
"78","چمدان","fa","5"
"79","رفتگر","fa","5"
"80","جارو","fa","4"
"81","سمنو","fa","4"
"82","ماژیک","fa","5"
"83","صابون","fa","5"
"84","خلبان","fa","5"
"85","دکتر","fa","4"
"86","پزشک","fa","4"
"87","فیزیک","fa","5"
"88","دانش","fa","4"
"89","دانشمند","fa","7"
"90","شیرین","fa","5"
"91","تلخ","fa","3"
"92","شور","fa","3"
"93","موز","fa","3"
"94","خیار","fa","4"
"95","ریواس","fa","5"
"96","سنجاق","fa","5"
"97","شامپو","fa","5"
"98","شنل","fa","3"
"99","ادبیات","fa","6"
